№,Модуль,Описание действия в приложении,Ожидаемый результат,Результат по факту,Примечания
1.1,Регистрация,Открыть страницу регистрации заполнить все поля (email никнейм пароль) нажать "Зарегистрироваться",Пользователь успешно зарегистрирован автоматический вход в систему переход на главную страницу,,
1.2,Регистрация,Попытка регистрации с невалидным email (например "test@"),Отображение ошибки валидации регистрация не выполняется,,
1.3,Регистрация,Попытка регистрации с паролем менее 6 символов,Отображение ошибки валидации регистрация не выполняется,,
1.4,Регистрация,Попытка регистрации с email который уже существует в системе,Отображение ошибки о существующем пользователе,,
1.5,Вход,Открыть страницу входа ввести корректные email и пароль нажать "Войти",Успешный вход в систему переход на главную страницу,,
1.6,Вход,Попытка входа с неверным паролем,Отображение ошибки "Неверный email или пароль",,
1.7,Вход,Попытка входа с несуществующим email,Отображение ошибки "Неверный email или пароль",,
1.8,Навигация,Попытка перейти на защищенные страницы без авторизации,Автоматическое перенаправление на страницу входа,,
1.9,Выход,Нажать кнопку "Выйти" в навигации,Выход из системы переход на страницу входа токен удален,,
2.1,Главная страница,Авторизоваться и перейти на главную страницу,Отображение трех карточек игровых режимов (По кадру По видеофрагменту По цитате) навигационное меню с никнеймом пользователя,,
2.2,Главная страница,Нажать на карточку "По кадру",Переход на страницу игры в режиме "frame",,
2.3,Главная страница,Нажать на карточку "По видеофрагменту",Переход на страницу игры в режиме "video",,
2.4,Главная страница,Нажать на карточку "По цитате",Переход на страницу игры в режиме "quote",,
2.5,Главная страница,Нажать "Профиль" в навигации,Переход на страницу профиля,,
2.6,Главная страница,Нажать "Рейтинг" в навигации,Переход на страницу рейтинга,,
3.1,Игровой процесс - По кадру,Выбрать режим "По кадру" и начать игру,Создание игровой сессии отображение первого вопроса с изображением кадра таймер 60 секунд варианты ответов,,
3.2,Игровой процесс - По кадру,Проверить загрузку изображения кадра,Изображение корректно отображается без ошибок загрузки,,
3.3,Игровой процесс - По кадру,Выбрать правильный вариант ответа из предложенных,Отображение сообщения "Правильно!" начисление очков (10 + бонус за скорость) переход к следующему вопросу через 2 секунды,,
3.4,Игровой процесс - По кадру,Выбрать неправильный вариант ответа,Отображение сообщения "Неправильно" начисление 0 очков переход к следующему вопросу через 2 секунды,,
3.5,Игровой процесс - По кадру,Ответить на вопрос до истечения таймера,Таймер останавливается после ответа очки начисляются с учетом времени,,
3.6,Игровой процесс - По кадру,Дождаться истечения 60 секунд без ответа,Автоматическая отправка пустого ответа начисление 0 очков переход к следующему вопросу,,
3.7,Игровой процесс - По кадру,Ответить правильно быстрее 30 секунд,Начисление дополнительных очков (до 5) за скорость,,
3.8,Игровой процесс - По кадру,Пройти несколько вопросов подряд,Корректный переход между вопросами счетчик вопросов обновляется (1/10 2/10 и т.д.),,
3.9,Игровой процесс - По кадру,Ответить на все 10 вопросов,Отображение итогового экрана с результатами (общее количество очков правильных ответов) кнопки "На главную" и "Новая игра",,
3.10,Игровой процесс - По кадру,После завершения сессии нажать "Новая игра",Начало новой игровой сессии в том же режиме,,
4.1,Игровой процесс - По видеофрагменту,Выбрать режим "По видеофрагменту" и начать игру,Создание игровой сессии отображение первого вопроса с видеоплеером таймер 60 секунд варианты ответов,,
4.2,Игровой процесс - По видеофрагменту,Проверить загрузку и воспроизведение видео,Видео автоматически начинает воспроизводиться есть элементы управления (пауза громкость) без ошибок загрузки,,
4.3,Игровой процесс - По видеофрагменту,Выбрать правильный/неправильный ответ,Аналогично тестам 3.3-3.4 но с видеоконтентом,,
4.4,Игровой процесс - По видеофрагменту,Проверить работу таймера с видео,Таймер работает корректно видео продолжает воспроизведение,,
5.1,Игровой процесс - По цитате,Выбрать режим "По цитате" и начать игру,Создание игровой сессии отображение первого вопроса с текстом цитаты таймер 60 секунд поле ввода или варианты ответов,,
5.2,Игровой процесс - По цитате,Ввести название фильма в текстовое поле и нажать "Ответить",Отправка ответа проверка правильности начисление очков,,
5.3,Игровой процесс - По цитате,Ввести название фильма и нажать Enter,Отправка ответа аналогично кнопке "Ответить",,
5.4,Игровой процесс - По цитате,Попытка отправить пустой ответ,Кнопка "Ответить" неактивна отправка невозможна,,
5.5,Игровой процесс - По цитате,Ввести правильный/неправильный ответ,Корректная проверка ответа начисление очков,,
6.1,Профиль пользователя,Перейти на страницу профиля,Отображение информации о пользователе (никнейм email) статистики (сыграно раундов всего ответов правильных ответов всего очков точность),,
6.2,Профиль пользователя,Сыграть несколько раундов и проверить статистику,Статистика обновляется корректно отражает все сыгранные раунды,,
6.3,Профиль пользователя,Проверить раздел достижений,Отображение списка достижений с их статусом (заблокировано/получено),,
6.4,Профиль пользователя,Выполнить условие для получения достижения,Достижение отображается как полученное (иконка 🏆 вместо 🔒),,
7.1,Рейтинг/Лидерборд,Перейти на страницу рейтинга,Отображение глобального рейтинга (топ-50 игроков) с позицией никнеймом очками и точностью,,
7.2,Рейтинг/Лидерборд,Проверить блок "Ваша позиция",Отображение текущей позиции пользователя в рейтинге его очков и точности,,
7.3,Рейтинг/Лидерборд,Проверить выделение строки пользователя в таблице,Строка с данными текущего пользователя выделена цветом,,
7.4,Рейтинг/Лидерборд,Проверить отображение медалей для топ-3,Первые три позиции отображаются с эмодзи медалей (🥇 🥈 🥉),,
7.5,Рейтинг/Лидерборд,Сыграть игру набрать очки проверить рейтинг,Позиция в рейтинге обновляется в соответствии с новыми очками,,
8.1,Навигация и маршрутизация,Попытка доступа к защищенным страницам без авторизации,Автоматическое перенаправление на страницу входа,,
8.2,Навигация и маршрутизация,Попытка перейти на /login или /register будучи авторизованным,Автоматическое перенаправление на главную страницу,,
8.3,Навигация и маршрутизация,Переходы между всеми страницами через навигационное меню,Корректная работа всех ссылок сохранение состояния авторизации,,
9.1,Обработка ошибок,Отключить интернет и попытаться выполнить действие,Отображение понятного сообщения об ошибке,,
9.2,Обработка ошибок,Симуляция ошибки сервера (500),Отображение сообщения об ошибке приложение не падает,,
9.3,Обработка ошибок,Попытка загрузить изображение/видео которого нет в MinIO,Отображение предупреждения о недоступности медиафайла,,
9.4,Обработка ошибок,Использовать истекший или невалидный токен,Автоматический выход из системы перенаправление на страницу входа,,
10.1,Производительность и UX,Проверить время загрузки всех страниц,Страницы загружаются быстро (< 2 секунд),,
10.2,Производительность и UX,Проверить переходы и анимации,Плавные переходы между состояниями нет рывков,,

